"x"
"Leptocharias smithii"
"Lobotes surinamensis"
"Lutjanus dentatus"
"Mugil capurrii"
"Muraena helena"
"Pteromylaeus bovinus"
"Myliobatus aquila"
"Polydactylus quadrifilis"
"Pentanemus quinquarius"
"Abudefduf marginatus"
"Pomatomus saltatrix"
"Psettias sebae"
"Rachycentron canadum"
"Raja miraletus"
"Nicholsina usta"
"Pseudotolithus senegalensis"
"Pseudotolithus brachygnathus"
"Pseudotolithus epipercus"
"Pteroscion peli"
"Argyrosomus regius"
"Umbrina canariensis"
"Scorpaena elongata"
"Scorpaena senegalensis"
"Scorpaena stephanica"
"Epinephelus aenus"
"Epinephelus alexandrinus"
"Epinephelus goreensis"
"Serranus cabrilla"
"Serranus atricauda"
"Serranus sanctaehelenae"
"Cephalopholis nigri"
"Mycteroperca rubra"
"Microchirus boscanion"
"Pegusa triophthalmus"
"Solea senegalensis"
"Synaptura cadenati"
"Sparus aurata"
"Pagrus caeruleostictus"
"Pagrus auriga"
"Sphyraena guachancho"
"Sphyrna lewini"
"Sphyrna mokarran"
"Sphyrna zygaena"
"Sphyrna tudes"
"Stromateus fiatola"
"Saurida brasiliensis"
"Sphoeroides spengleri"
"Lagocephalus laevigatus"
"Sphoeroides cutaneus"
"Galeorhinus galeus"
"Uranoscopus scaber"
"Alcedo atthis"
"Megaceryle maxima"
"Alopochen aegyptiaca"
"Egretta alba"
"Egretta ardesiaca"
"Egretta intermedia"
"Charadrius alexandrinus"
"Ciconia episcopus"
"Glareola pratincola"
"Actophilornis africanus"
"Larus sabini"
"Sterna bengalensis"
"Merops nubicus"
"Neotis denhami"
"Phalacrocorax africanus"
"Phoenicopterus ruber"
"Tachybaptus ruficollis"
"Pycnonotus barbatus"
"Limosa limosa"
"Tringa glareola"
"Platalea leucorodia"
"Synaptura punctatissima"
"Pegusa lascaris"
"Sterna nilotica"
"Oceanites oceanicus"
"Hydrobates pelagicus"
"Oceanodroma castro"
"Oceanodroma leucorhoa"
"Phaethon aethereus"
"Sula bassana"
"Phalacrocorax carbo"
"Plegadis falcinellus"
"Gallinula chloropus"
"Rostratula benghalensis"
"Recurvirostra avosetta"
"Philomachus pugnax"
"Tringa erythropus"
"Phalaropus fulicaria"
"Scotopelia peli"
"Hippolais icterina"
"Phylloscopus collybita"
"Phoenicopterus minor"
"Dendrocygna bicolor"
"Nettapus auritus"
"Aviceda cuculoides"
"Gyps africanus"
"Circaetus gallicus"
"Circus pygargus"
"Accipiter badius"
"Aquila rapax"
"Falco subbuteo"
"Numida meleagris"
"Stercorarius pomarinus"
"Catharacta skua"
"Larus ridibundus"
"Sterna paradisaea"
"Sterna fuscata"
"Chlidonias hybrida"
"Chlidonias leucopterus"
"Galerida cristata"
"Riparia paludicola"
"Hirundo daurica"
"Delichon urbicum"
"Luscinia megarhynchos"
"Ptilostemon afer"
"Megaptera novaeangliae"
"Rattus rattus"
"Carcharhinus altimus"
"Carcharhinus amboinensis"
"Carcharhinus falciformis"
"Carcharhinus obscurus"
"Carcharinus plumbeus"
"Carcharias taurus"
"Galeocerdo cuvier"
"Negaprion brevirostris"
"Mustelus mustelus"
"Rhinoptera marginata"
"Aetobatus narinari"
"Rhinobatos albomaculatus"
"Rhinobatos irvinei"
"Rhynchobatus luebberti"
"Zanobatus schoenleinii"
"Dasyatis marmorata"
"Dasyatis pastinaca"
"Taeniura grabata"
"Torpedo marmorata"
"Torpedo mackayana"
"Pseudotolithus senegallus"
"Alectis alexandrina"
"Parakuhlia macrophthalmus"
"Caranx rhonchus"
"Pomadasys perotaei"
"Dicologlossa cuneata"
"Rhinobatus rhinobatus"
"Parapenaeopsis atlantica"
"Panulirus regius"
"Scyllarides herklotsii"
"Pseudupeneus prayensis"
"Chamaeleo gracilis"
"Mecistops cataphractus"
"Ardeola ibis"
"Estrilda melpoda"
"Tringa hypoleucos"
"Callinectes pallidus"
"Callinectes amnicola"
"Pomadasys rogerii"
"Neochelon falcipinnis"
"Hyperopisus occidentalis"
"Milvus migrans"
"Milvus parasiticus"
"Ocypode cursor"
"Caulerpa sertularioides"
"Acanthophora spicifera"
"Ahnfeltia plicata"
"Spyridia filamentosa"
"Ernodesmis verticillata"
"Laurencia dendroidea"
"Hypnea spinella"
"Arcuatula senhousia"
"Coccyzus americanus"
"Casmerodius albus"
"Mesophoyx intermedia"
"Pomadasys suillus"
"Ephippus goreensis"
"Plectorhinchus mediterraneus"
"Psettodes bennettii"
"Fodiator acutus"
"Eunicella papillifera"
"Acrostichum aureum"
"Glabella adansoni"
"Onchidella celtica"
"Caulerpa taxifolia"
"Sesuvium portulacastrum"
"Rhizophora stylosa"
"Chroicocephalus ridibundus"
"Charadrius pecuarius"
"Schilderina achatidea"
"Caryophyllia smithii"
"Ulva intestinalis"
"Hypnea musciformis"
"Chaetomorpha linum"
"Dictyota dichotoma"
"Gracilaria longissima"
"Sargassum acinarium"
"Colpomenia sinuosa"
"Sargassum ramifolium"
"Sheldonella minutalis"
"Anopheles melas"
"Anopheles gambiae"
"Petrolisthes lamarckii"
"Clibanarius virescens"
"Alpheus malleator"
"Alpheus heterochaelis"
"Penaeus brasiliensis"
"Carlarius parkii"
"Arnoglossus imperialis"
"Monodactylus sebae"
"Penaeus notialis"
"Pegusa triophthalma"
"Penaeus kerathurus"
"Hippocampus algiricus"
"Rynchops flavirostris"
"Ardea intermedia"
"Siderastrea radians"
"Armases elegans"
"Conus byssinus"
"Scyris alexandrina"
"Delphinus delphis"
"Caulerpa cupressoides"
"Zonaria zonaria"
"Tubastraea coccinea"
"Dictyopteris repens"
"Dictyota ceylanica"
"Gymnura sereti"
"Rhinoptera steindachneri"
"Hypanus rudis"
"Hypanus berthalutzae"
"Rhinoptera peli"
"Fontitrygon ukpam"
"Aetomylaeus bovinus"
"Bathytoshia lata"
"Coris atlantica"
"Labrisomus nuchipinnis"
"Serranus inexpectatus"
"Serranus papilionaceus"
"Nymphaea lotus"
"Canavalia rosea"
"Limicolaria flammea"
"Heteropoda venatoria"
"Clibanarius africanus"
"Hypolimnas misippus"
"Entada mannii"
"Apis mellifera"
"Chrysobalanus icaco"
"Jatropha integerrima"
"Dalbergia ecastaphyllum"
"Mangifera indica"
"Ipomoea imperati"
"Calappa pelii"
"Sepia officinalis"
"Citharus linguatula"
"Dactylopterus volitans"
"Aluterus schoepfii"
"Balistes capriscus"
"Pagellus bellottii"
"Sphoeroides marmoratus"
"Cynoglossus canariensis"
"Carlarius heudelotii"
"Pythonichthys macrurus"
"Penaeus monodon"
"Chaceon maritae"
"Cardium costatum"
"Calappa rubroguttata"
"Aristeus varidens"
"Squilla aculeata"
"Lamelliconcha circinata"
"Holthuispenaeopsis atlantica"
"Jolya rhomboidea"
"Chilomycterus spinosus"
"Cyperus ligularis"
"Nemum spadiceum"
"Nymphaea micrantha"
"Phoenix reclinata"
"Rhynchospora candida"
"Sporobolus virginicus"
