"id","kingdom","phylum","order","family","genus","species","Lon","Lat","year","month","day","datasetName","datasetId","datasetKey","photo","bibliographicCitation","speciesAccepted","authority","status"
3965,"Plantae","Tracheophyta","Malpighiales","Rhizophoraceae","Rhizophora","Rhizophora harrisonii","-16.14475","11.227889","1995","12","13","Mangrove","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1560446","Rhizophora ×harrisonii","Leechman","unaccepted"
3966,"Plantae","Tracheophyta","Malpighiales","Rhizophoraceae","Rhizophora","Rhizophora harrisonii","-16.14475","11.227889","1995","12","13","Mangrove","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1925431","Rhizophora ×harrisonii","Leechman","unaccepted"
3967,"Plantae","Tracheophyta","Malpighiales","Rhizophoraceae","Rhizophora","Rhizophora harrisonii","-16.144722","11.227777","1995","12","13","Mangrove","0","0",NA,"http://www.botanicalcollections.be/specimen/BR0000005148479","Rhizophora ×harrisonii","Leechman","unaccepted"
3968,"Plantae","Chlorophyta","Ulvales","Ulvaceae","Ulva","Ulva intestinalis","-15.816667","11.333333","1993","2","18","Algae","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4139822","Ulva intestinalis","Linnaeus, 1753","accepted"
3969,"Plantae","Rhodophyta","Gigartinales","Cystocloniaceae","Hypnea","Hypnea musciformis","-15.95","11.566667","1993","2","18","Florideophyceae","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4068960","Hypnea musciformis","(Wulfen) J.V.Lamouroux, 1813","accepted"
3970,"Plantae","Rhodophyta","Gigartinales","Cystocloniaceae","Hypnea","Hypnea musciformis","-15.95","11.566667","1993","2","18","Florideophyceae","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4068959","Hypnea musciformis","(Wulfen) J.V.Lamouroux, 1813","accepted"
3971,"Plantae","Rhodophyta","Gigartinales","Cystocloniaceae","Hypnea","Hypnea spinella","-15.816667","11.333333","1993","2","18","Florideophyceae","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4080241","Hypnea spinella","(C.Agardh) Kützing, 1847","accepted"
3972,"Plantae","Rhodophyta","Gigartinales","Cystocloniaceae","Hypnea","Hypnea spinella","-15.816667","11.333333","1993","2","18","Florideophyceae","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4080242","Hypnea spinella","(C.Agardh) Kützing, 1847","accepted"
3973,"Plantae","Chlorophyta","Cladophorales","Cladophoraceae","Chaetomorpha","Chaetomorpha linum","-15.816667","11.333333","1993","2","18","Ulvophyceae","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4129577","Chaetomorpha linum","(O.F.Müller) Kützing, 1845","accepted"
3974,"Plantae","Rhodophyta","Ceramiales","Rhodomelaceae","Acanthophora","Acanthophora spicifera","-15.816667","11.333333","1993","2","18","Florideophyceae","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4036648","Acanthophora spicifera","(M.Vahl) Børgesen, 1910","accepted"
3975,"Plantae","Rhodophyta","Ceramiales","Rhodomelaceae","Acanthophora","Acanthophora spicifera","-15.816667","11.333333","1993","2","18","Florideophyceae","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4036649","Acanthophora spicifera","(M.Vahl) Børgesen, 1910","accepted"
3976,"Chromista","Ochrophyta","Dictyotales","Dictyotaceae","Dictyota","Dictyota dichotoma","-15.95","11.566667","1993","8","18","Phaeophyceae","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.3936115","Dictyota dichotoma","(Hudson) J.V.Lamouroux, 1809","accepted"
3977,"Chromista","Ochrophyta","Dictyotales","Dictyotaceae","Dictyota","Dictyota dichotoma","-15.95","11.566667","1993","8","18","Phaeophyceae","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.3936116","Dictyota dichotoma","(Hudson) J.V.Lamouroux, 1809","accepted"
3978,"Plantae","Rhodophyta","Gracilariales","Gracilariaceae","Gracilaria","Gracilaria longissima","-15.816667","11.333333","1993","2","18","Florideophyceae","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4061744","Gracilaria longissima","(S.G.Gmelin) Steentoft, L.M.Irvine & Farnham, 1995","accepted"
3979,"Plantae","Tracheophyta","Myrtales","Combretaceae","Conocarpus","Conocarpus erectus","-16.14475","11.227889","1995","12","13","Magnoliopsida","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1924800","Conocarpus erectus","L.","accepted"
3980,"Chromista","Ochrophyta","Fucales","Sargassaceae","Sargassum","Sargassum acinarium","-15.95","11.566667","1993","2","1","Phaeophyceae","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4035852","Sargassum acinarium","(Linnaeus) Setchell, 1933","accepted"
3981,"Chromista","Ochrophyta","Fucales","Sargassaceae","Sargassum","Sargassum acinarium","-15.816667","11.333333","1993","2","1","Phaeophyceae","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4035851","Sargassum acinarium","(Linnaeus) Setchell, 1933","accepted"
3982,"Chromista","Ochrophyta","Ectocarpales","Scytosiphonaceae","Colpomenia","Colpomenia sinuosa","-15.816667","11.333333","1993","2","18","Phaeophyceae","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4023567","Colpomenia sinuosa","(Mertens ex Roth) Derbès & Solier, 1851","accepted"
3983,"Chromista","Ochrophyta","Fucales","Sargassaceae","Sargassum","Sargassum ramifolium","-15.816667","11.333333","1993","2","18","Phaeophyceae","0","0",NA,"https://data.biodiversitydata.nl/naturalis/specimen/L.4025288","Sargassum ramifolium","Kützing, 1861","accepted"
3984,"Animalia","Chordata","Scombriformes","Scombridae","Scomberomorus","Scomberomorus tritor","-15.892665","11.273779","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Scomberomorus tritor","(Cuvier, 1832)","accepted"
3985,"Animalia","Chordata","Clupeiformes","Dorosomatidae","Ethmalosa","Ethmalosa fimbriata","-15.892665","11.273779","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Ethmalosa fimbriata","(Bowdich, 1825)","accepted"
3986,"Animalia","Chordata","Clupeiformes","Dorosomatidae","Sardinella","Sardinella maderensis","-15.892665","11.273779","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Sardinella maderensis","(Lowe, 1838)","accepted"
3987,"Animalia","Chordata","Carcharhiniformes","Sphyrnidae","Sphyrna","Sphyrna mokarran","-15.892665","11.273779","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Sphyrna mokarran","(Rüppell, 1837)","accepted"
3988,"Animalia","Chordata","Carangaria incertae sedis","Sphyraenidae","Sphyraena","Sphyraena afra","-15.892665","11.273779","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Sphyraena afra","Peters, 1844","accepted"
3989,"Animalia","Chordata","Myliobatiformes","Dasyatidae","Dasyatis","Dasyatis margarita","-15.892665","11.273779","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Fontitrygon margarita","(Günther, 1870)","unaccepted"
3990,"Animalia","Chordata","Perciformes","Serranidae","Epinephelus","Epinephelus aeneus","-15.892665","11.273779","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Epinephelus aeneus","(Geoffroy Saint-Hilaire, 1817)","accepted"
3991,"Animalia","Chordata","Eupercaria incertae sedis","Lethrinidae","Lethrinus","Lethrinus atlanticus","-15.892665","11.273779","2010","4","23","Marine Fish","0","0",NA,"CIPA, Pesca Exprimental no Arquipélago dos Bijagós","Lethrinus atlanticus","Valenciennes, 1830","accepted"
